konsert_datum,konsert_namn,lokal_namn,konsert_biljettpris,konserttyp_namn,Producer,normalized_konsert_datum
1908-04-14,undomsteater [med konsertavdelning],vetenskapsakademiens hörsal,1:50kr 1kr,ungdomskonsert,sjögren ebba mrs,1908 04 14
1908-04-16,familjeafton,berns salong,fri entré,barnkonsert,berns,1908 04 16
1908-04-16,två konserter,skansen,50öre hälften för barn under 12 barn under 3 gratis,utomhuskonsert,skansen skansen (open air museum and historical park),1908 04 16
1908-04-17,konsert,skansen,50öre hälften för barn under 12 barn under 3 gratis,utomhuskonsert,skansen skansen (open air museum and historical park),1908 04 17
1908-04-17,populär soaré,arbetareföreningens stora sal,50öre 75öre 1kr,folkkonsert,arbetareinstitutet workers' institute,1908 04 17
1908-04-17,repetition inför konsert till förmån för frimurare barnhuset,ladugårdslands kyrka/östermalms ka/hedvig eleonora,1:50kr 1kr,kyrkokonsert,kungliga teatern/kungliga operan royal theatre/royal opera,1908 04 17
1908-04-17,skapelsen konsert till förmån för frimurare barnhuset,ladugårdslands kyrka/östermalms ka/hedvig eleonora,2:50kr 2kr 1:50kr,kyrkokonsert,kungliga teatern/kungliga operan royal theatre/royal opera,1908 04 17
1908-04-19,bellmanskörens vårkonsert,kungliga musikaliska akademiens lokal,1:50kr 1:25kr 1kr,körkonsert,bellmanskören bellman choir,1908 04 19
1908-04-19,femte symfonikonserten: påskdagskonserten på operan till förmån för hovkapellets pensionskassa,kungliga operan/kungliga teatern,,konsert,kungl. hovkapellet royal court orchestra,1908 04 19
1908-04-19,konsert,skansen,50öre hälften för barn under 12 barn under 3 gratis,utomhuskonsert,skansen skansen (open air museum and historical park),1908 04 19
1908-04-19,musikalisk soaré,folkteatern [bijou teatern/östermalmsteatern/ladugårdsteatern],,konsert,ladugårdslands teatern/folkteatern/bijou teatern/östermalmsteatern ladugårds land theatre/people's theatre/bijou theatre/östermalm theatre,1908 04 19
1908-04-19,musikalisk soaré,oscarsteatern,teaterns vanliga priser,konsert,oscarsteatern oscar theatre,1908 04 19
1908-04-19,musikalisk deklamatorisk soirée,folkteatern [bijou teatern/östermalmsteatern/ladugårdsteatern],,dramatisk/musikalisk föreställning,wahlgren gustaf,1908 04 19
1908-04-19,populär mainé,grand restaurant nationals stora salong,2kr,konsert,typografiska föreningens sångkör typographical association choir,1908 04 19
1908-04-19,populärsoarée,arbetareföreningens stora sal,50öre 75öre och 1kr,folkkonsert,dahlberg erik,1908 04 19
1908-04-19,stor konsert till förmån för pastor john hedbergs verksamhet för barn och nykterhetsarbetet,cirkus,1:50kr loge 1:25kr parkett 1kr 1a plats 75öre 2a plats 50öre 3e plats,konsert,templet t.o.,1908 04 19
1908-04-20,folkkonsert,södermalms högre allmänna läroverks aula,25öre,folkkonsert,södermalms arbetareinstitut södermalm workers' institute,1908 04 20
1908-04-20,konsert,skansen,50öre hälften för barn under 12 barn under 3 gratis,utomhuskonsert,skansen skansen (open air museum and historical park),1908 04 20
1908-04-20,konsert till förmån för matteus barnkrubba,st matteus kyrka,,kyrkokonsert,matteus församling matteus parish,1908 04 20
1908-04-20,orkestermatiné till förmån för svenska musikerförenings och svenska musikerförbundets föreningskassor,gustav vasa kyrkan,,kyrkokonsert,svenska musikerförbundet swedish musicians' union,1908 04 20
1908-04-20,populär visafton,kungliga musikaliska akademiens lokal,50öre 1kr 1:50kr och 2kr,konsert,norrie anna [f. pettersson],1908 04 20
1908-04-20,populärsoarée,arbetareföreningens stora sal,50öre 75öre och 1kr,folkkonsert,dahlberg erik,1908 04 20
1908-04-22,erik bögh afton,hotel continentals festsal,,viskonsert,söderman sven dr.,1908 04 22
1908-04-23,aulinkvartettens 5e och sista kammarmusikkonsert i förening med professor neruda,vetenskapsakademiens hörsal,3kr numrerade 2:50kr onumrerade,kammarmusikkonsert,aulinkvartetten aulin quartet,1908 04 23
1908-04-23,konsert till förmån för svenskarne å runö,kfuk:s stora hörsal,1:50kr 1kr,konsert,k.f.u.k ywca,1908 04 23
1908-04-24,kraftska skolans musikafton,kfum:s stora sal,,konsert,kraftska skolan krafft's school,1908 04 24
1908-04-25,konsert,skansen,50öre hälften för barn under 12 barn under 3 gratis,utomhuskonsert,skansen skansen (open air museum and historical park),1908 04 25
1908-04-25,populär sångafton,vetenskapsakademiens hörsal,1kr numrerade 50öre onumrerade,viskonsert,lundberg anna,1908 04 25
1908-04-25,wagnerkonsert,södermalms högre allmänna läroverks aula,,konsert,orkesterföreningen inom södermalms läroverk the orchestra association within södermalm's secondary school,1908 04 25
1908-04-25,wl. talvi konsert,kfuk:s stora hörsal,1kr 1:50kr,konsert,talvi wladimir,1908 04 25
1908-04-26,årsfest,kfuk:s stora hörsal,50öre (för sjukkassans medlemmar 25öre),fest,föreningen för sömmerskor association for seamstresses,1908 04 26
1908-04-26,folkkonsert,arbetareföreningens stora sal,,folkkonsert,arbetareinstitutet workers' institute,1908 04 26
1908-04-28,dramatisk musikalisk soarée till förmån för fackskolan för kvinnliga tjänare,kungliga operan/kungliga teatern,,dramatisk/musikalisk föreställning,kungliga teatern/kungliga operan royal theatre/royal opera,1908 04 28
1908-04-28,konsert,skansen,50öre hälften för barn under 12 barn under 3 gratis,utomhuskonsert,skansen skansen (open air museum and historical park),1908 04 28
1908-04-28,musikföreningens sista konsert,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr,konsert,musikföreningen music association,1908 04 28
1908-04-29,eugéne och théo ysayes andra och sista konsert,kungliga musikaliska akademiens lokal,3:50kr 3kr 2:50kr 2kr,konsert,ysaye eugène,1908 04 29
